,Instrument,Company Common Name,Country of Exchange,Company Market Cap,GICS Sub-Industry Code,GICS Sub-Industry Name
271,600298.SS,Angel Yeast Co Ltd,China,4738202845.02458,30202030,Packaged Foods & Meats
143,PAFO.NS,Patanjali Foods Ltd,India,4728179186.78583,30202030,Packaged Foods & Meats
543,CPAXT.BK,CP Axtra PCL,Thailand,4702793956.70475,30101030,Food Retail
532,AMR.AD,Americana Restaurants International PLC,United Arab Emirates,4701712005.82662,25301040,Restaurants
168,APOT.AM,Arab Potash Co,Jordan,4701319385.59322,15101030,Fertilizers & Agricultural Chemicals
246,000876.SZ,New Hope Liuhe Co Ltd,China,4686110379.89078,30202010,Agricultural Products & Services
190,2579.T,Coca-Cola Bottlers Japan Holdings Inc,Japan,4672402481.62132,30201030,Soft Drinks & Non-alcoholic Beverages
465,WING.OQ,Wingstop Inc,United States of America,4635252846.13,25301040,Restaurants
328,3038.T,Kobe Bussan Co Ltd,Japan,4597978900.61077,30101030,Food Retail
55,2212.T,Yamazaki Baking Co Ltd,Japan,4510573214.51046,30202030,Packaged Foods & Meats
124,STRS.TA,Strauss Group Ltd,Israel,4487946341.28735,30202030,Packaged Foods & Meats
315,VNM.HM,Vietnam Dairy Products JSC,Vietnam,4428107508.33048,30202030,Packaged Foods & Meats
281,600331.SS,Sichuan Hongda Co Ltd,China,4378428474.69603,15101030,Fertilizers & Agricultural Chemicals
387,ICBP.JK,Indofood CBP Sukses Makmur Tbk PT,Indonesia,4360652282.4576,30202030,Packaged Foods & Meats
539,TBBB.N,Bbb Foods Inc,United States of America,4303156414.75,30101030,Food Retail
329,MBRF3.SA,Marfrig Global Foods SA,Brazil,4275244834.11334,30202030,Packaged Foods & Meats
103,SEB.A,Seaboard Corp,United States of America,4263227295.46,30202030,Packaged Foods & Meats
459,EDV.AX,Endeavour Group Ltd,Australia,4242302687.31901,30101030,Food Retail
309,PIIL.NS,PI Industries Ltd,India,4218078145.26365,15101030,Fertilizers & Agricultural Chemicals
425,3197.T,Skylark Holdings Co Ltd,Japan,4203646671.6022,25301040,Restaurants
350,0220.HK,Uni-President China Holdings Ltd,Hong Kong,4109087524.38884,30202030,Packaged Foods & Meats
147,SAE.TA,Shufersal Ltd,Israel,4064203535.87327,30101030,Food Retail
201,CALM.OQ,Cal-Maine Foods Inc,United States of America,4046434381.08,30202030,Packaged Foods & Meats
17,CWK.L,Cranswick PLC,United Kingdom,4035638175.3545,30202030,Packaged Foods & Meats
422,POST.N,Post Holdings Inc,United States of America,4023285959.22,30202030,Packaged Foods & Meats
50,2809.T,Kewpie Corp,Japan,4017416250.23135,30202030,Packaged Foods & Meats
412,CHEF.OQ,Chefs' Warehouse Inc,United States of America,4004770944.09,30101020,Food Distributors
345,002157.SZ,Jiangxi Zhengbang Technology Co Ltd,China,4003220480.41629,30202010,Agricultural Products & Services
432,INRETC1.LM,InRetail Peru Corp,Peru,3969261375.5,30101040,Consumer Staples Merchandise Retail
400,601933.SS,Yonghui Superstores Co Ltd,China,3954479622.37613,30101030,Food Retail
279,FCG.NZ,Fonterra Co-Operative Group Ltd,New Zealand,3900813328.40379,30202030,Packaged Foods & Meats
338,FRLD.SI,First Resources Ltd,Singapore,3898275840.75221,30202010,Agricultural Products & Services
448,603345.SS,Anjoy Foods Group Co Ltd,China,3894962623.37044,30202030,Packaged Foods & Meats
164,SMG.N,Scotts Miracle-Gro Co,United States of America,3885971572.23,15101030,Fertilizers & Agricultural Chemicals
161,CAKE.OQ,Cheesecake Factory Inc,United States of America,3862540119.62,25301040,Restaurants
369,MSN.HM,Masan Group Corp,Vietnam,3833004228.34646,30202030,Packaged Foods & Meats
419,SHEN.SI,Sheng Siong Group Ltd,Singapore,3805391633.12694,30101030,Food Retail
264,600226.SS,Zhejiang Hengtong Holding Co Ltd,China,3752237037.37157,15101030,Fertilizers & Agricultural Chemicals
383,COCO.OQ,Vita Coco Company Inc,United States of America,3743733748.65,30201030,Soft Drinks & Non-alcoholic Beverages
45,2282.T,NH Foods Ltd,Japan,3672351286.32241,30202030,Packaged Foods & Meats
488,271560.KS,Orion Corp,Korea; Republic (S. Korea),3663312607.43774,30202030,Packaged Foods & Meats
217,600737.SS,COFCO Sugar Holding Co Ltd,China,3620683990.63797,30202030,Packaged Foods & Meats
298,ATM.NZ,A2 Milk Company Ltd,New Zealand,3603471605.00485,30202030,Packaged Foods & Meats
529,OLAG.SI,Olam Group Ltd,Singapore,3598743400.81269,30101020,Food Distributors
47,2002.T,Nisshin Seifun Group Inc,Japan,3565341530.71442,30202030,Packaged Foods & Meats
43,2871.T,Nichirei Corp,Japan,3495115990.70578,30202030,Packaged Foods & Meats
266,QRES.KL,QL Resources Bhd,Malaysia,3464684525.42415,30202030,Packaged Foods & Meats
125,ESCO.NS,Escorts Kubota Ltd,India,3436005787.51441,20106015,Agricultural & Farm Machinery
505,6186.HK,China Feihe Ltd,Hong Kong,3414476542.09674,30202030,Packaged Foods & Meats
26,TATE.L,Tate & Lyle PLC,United Kingdom,3340144373.41831,30202030,Packaged Foods & Meats
69,PEPT.KL,PPB Group Bhd,Malaysia,3309020399.0509,30202030,Packaged Foods & Meats
129,GUBRF.IS,Gubre Fabrikalari TAS,Turkey,3265634144.57018,15101030,Fertilizers & Agricultural Chemicals
192,INDF.JK,Indofood Sukses Makmur Tbk PT,Indonesia,3258790485.82152,30202030,Packaged Foods & Meats
333,AMRT.JK,Sumber Alfaria Trijaya Tbk PT,Indonesia,3220832909.17431,30101030,Food Retail
7,EBRO.MC,Ebro Foods SA,Spain,3185983315.06755,30202030,Packaged Foods & Meats
211,PBH.TO,Premium Brands Holdings Corp,Canada,3146949433.15022,30202030,Packaged Foods & Meats
375,JUBI.NS,Jubilant Foodworks Ltd,India,3136691893.35517,25301040,Restaurants
92,MZTI.OQ,Marzetti Co,United States of America,3115413420.0,30202030,Packaged Foods & Meats
166,SORIANAB.MX,Organizacion Soriana SAB de CV,Mexico,3113745781.00639,30101040,Consumer Staples Merchandise Retail
499,1797.HK,East Buy Holding Ltd,Hong Kong,3102849410.32174,30101030,Food Retail
283,600598.SS,Heilongjiang Agriculture Co Ltd,China,3074710591.27241,30202010,Agricultural Products & Services
100,FIZZ.OQ,National Beverage Corp,United States of America,3040521072.96,30201030,Soft Drinks & Non-alcoholic Beverages
8,VIS.MC,Viscofan SA,Spain,3036390468.23699,30202030,Packaged Foods & Meats
284,600486.SS,Jiangsu Yangnong Chemical Co Ltd,China,2995118214.48759,15101030,Fertilizers & Agricultural Chemicals
60,TBSJ.J,Tiger Brands Ltd,South Africa,2974058482.68537,30202030,Packaged Foods & Meats
489,B4B0n.H,METRO AG,Germany,2948426939.43059,30101020,Food Distributors
184,FAUF.PSX,Fauji Fertilizer Company Ltd,Pakistan,2944401653.83194,15101030,Fertilizers & Agricultural Chemicals
108,TR.N,Tootsie Roll Industries Inc,United States of America,2924035131.8,30202030,Packaged Foods & Meats
373,002299.SZ,Fujian Sunner Development Co Ltd,China,2899565696.66147,30202030,Packaged Foods & Meats
120,CPIN.JK,Charoen Pokphand Indonesia Tbk PT,Indonesia,2899396163.46956,30202010,Agricultural Products & Services
252,600186.SS,Lotus Holdings Co Ltd,China,2873849168.38255,30202030,Packaged Foods & Meats
224,UNFI.N,United Natural Foods Inc,United States of America,2859529365.0,30101020,Food Distributors
341,DIDA.MC,Distribuidora Internacional de Alimentacion SA,Spain,2826131250.3861,30101040,Consumer Staples Merchandise Retail
42,2264.T,Morinaga Milk Industry Co Ltd,Japan,2788122634.24024,30202030,Packaged Foods & Meats
19,0142.HK,First Pacific Co Ltd,Hong Kong,2755645911.85967,30202030,Packaged Foods & Meats
96,MFI.TO,Maple Leaf Foods Inc,Canada,2699056888.02028,30202030,Packaged Foods & Meats
5,SDFGn.DE,K+S AG,Germany,2691558167.39887,15101030,Fertilizers & Agricultural Chemicals
178,JFC.PS,Jollibee Foods Corp,Philippines,2682411662.5635,25301040,Restaurants
261,GAGR.SI,Golden Agri-Resources Ltd,Singapore,2682354209.9675,30202010,Agricultural Products & Services
503,KWSG.DE,KWS SAAT SE & Co KgaA,Germany,2681120556.85514,30202010,Agricultural Products & Services
451,FRPT.OQ,Freshpet Inc,United States of America,2678773537.41,30202030,Packaged Foods & Meats
68,FRAS.KL,Fraser & Neave Holdings Bhd,Malaysia,2673055020.81141,30201030,Soft Drinks & Non-alcoholic Beverages
544,LULU.AD,Lulu Retail Holdings PLC,United Arab Emirates,2668844254.28828,30101040,Consumer Staples Merchandise Retail
476,002895.SZ,Guizhou Chanhen Chemical Corp,China,2626658665.66815,15101030,Fertilizers & Agricultural Chemicals
291,605198.SS,Yantai North Andre Juice Co Ltd,China,2592251192.18422,30202030,Packaged Foods & Meats
6,SZUG.DE,Suedzucker AG,Germany,2576901020.73373,30202030,Packaged Foods & Meats
153,KENT.IS,Kent Gida Maddeleri Sanayii ve Ticaret AS,Turkey,2565712747.82453,30202030,Packaged Foods & Meats
313,2229.T,Calbee Inc,Japan,2544079549.63292,30202030,Packaged Foods & Meats
312,AWLA.NS,AWL Agri Business Ltd,India,2514178403.35119,30202030,Packaged Foods & Meats
138,MGROS.IS,Migros Ticaret AS,Turkey,2507906677.86977,30101030,Food Retail
371,BAKKA.OL,P/F Bakkafrost,Norway,2504295392.55646,30202030,Packaged Foods & Meats
254,000833.SZ,Guangxi Yuegui Guangye Holdings Co Ltd,China,2484147839.05555,30202030,Packaged Foods & Meats
197,2222.T,Kotobuki Spirits Co Ltd,Japan,2483389645.08606,30202030,Packaged Foods & Meats
427,SUMH.NS,Sumitomo Chemical India Ltd,India,2476891017.25128,15101030,Fertilizers & Agricultural Chemicals
439,301035.SZ,Shandong Weifang Rainbow Chemical Co Ltd,China,2473532069.74416,15101030,Fertilizers & Agricultural Chemicals
46,1332.T,Nissui Corp,Japan,2457717006.66296,30202030,Packaged Foods & Meats
268,LSG.OL,Leroy Seafood Group ASA,Norway,2405320170.8185,30202030,Packaged Foods & Meats
302,PFD.L,Premier Foods PLC,United Kingdom,2349888925.59217,30202030,Packaged Foods & Meats
56,SCHO.CO,Schouw & Co A/S,Denmark,2349681606.66177,30202030,Packaged Foods & Meats
456,SHAK.N,Shake Shack Inc,United States of America,2349561133.32,25301040,Restaurants
380,002312.SZ,Sichuan Development Lomon Co Ltd,China,2339699095.36903,15101030,Fertilizers & Agricultural Chemicals
191,MTS.AX,Metcash Ltd,Australia,2338999945.95475,30101020,Food Distributors
478,3549.T,Kusuri No Aoki Holdings Co Ltd,Japan,2338365776.5439,30101040,Consumer Staples Merchandise Retail
548,417A.T,Blue Zones Holdings Co Ltd,Japan,2330038902.18397,30101030,Food Retail
519,2419.HK,DEKON Food and Agriculture Group,Hong Kong,2329331492.71204,30202030,Packaged Foods & Meats
527,2460.HK,China Resources Beverage (Holdings) Co Ltd,Hong Kong,2318161907.2395,30201030,Soft Drinks & Non-alcoholic Beverages
209,ANDE.OQ,Andersons Inc,United States of America,2315675808.0,30101020,Food Distributors
509,PGUN.JK,Pradiksi Gunatama Tbk PT,Indonesia,2313005526.5221,30202030,Packaged Foods & Meats
545,BOXJ.J,Boxer Retail Ltd,South Africa,2298278465.94872,30101030,Food Retail
484,301498.SZ,Gambol Pet Group Co Ltd,China,2293165936.93879,30202030,Packaged Foods & Meats
137,1229.TW,Lien Hwa Industrial Holdings Corp,Taiwan,2287283074.73222,30202030,Packaged Foods & Meats
533,141A.T,Trial Holdings Inc,Japan,2281286223.70288,30101040,Consumer Staples Merchandise Retail
517,9985.HK,Weilong Delicious Global Holdings Ltd,Hong Kong,2281047160.44735,30202030,Packaged Foods & Meats
430,BUMI.SI,Bumitama Agri Ltd,Singapore,2271380730.13465,30202010,Agricultural Products & Services
31,2206.T,Ezaki Glico Co Ltd,Japan,2264966789.91918,30202030,Packaged Foods & Meats
473,300761.SZ,Jiangsu Lihua Foods Group Co Ltd,China,2261168542.43089,30202030,Packaged Foods & Meats
33,2607.T,Fuji Oil Co Ltd (Osaka),Japan,2254469956.56117,30202030,Packaged Foods & Meats
35,2810.T,House Foods Group Inc,Japan,2248908202.40607,30202030,Packaged Foods & Meats
319,ASAI3.SA,Sendas Distribuidora SA,Brazil,2238347776.28584,30101040,Consumer Staples Merchandise Retail
260,000902.SZ,YONFER Agricultural Technology Co Ltd,China,2231163739.33524,15101030,Fertilizers & Agricultural Chemicals
186,URC.PS,Universal Robina Corp,Philippines,2224599231.99166,30202030,Packaged Foods & Meats
34,8242.T,H2O Retailing Corp,Japan,2215683906.63212,30101030,Food Retail
444,603317.SS,Sichuan Teway Food Group Co Ltd,China,2212204661.72314,30202030,Packaged Foods & Meats
326,HUSQb.ST,Husqvarna AB,Sweden,2207144547.42013,20106015,Agricultural & Farm Machinery
325,3397.T,TORIDOLL Holdings Corp,Japan,2204256782.97242,25301040,Restaurants
288,2050.SE,Savola Group Company SJSC,Saudi Arabia,2201922820.84743,30202030,Packaged Foods & Meats
393,605296.SS,Yunnan Shennong Agricultural Industry Group Co Ltd,China,2198427199.38175,30202030,Packaged Foods & Meats
131,GNC.L,Greencore Group PLC,United Kingdom,2190722153.68424,30202030,Packaged Foods & Meats
220,BAFARB.BIV,Grupo Bafar SAB de CV,Mexico,2166628625.35337,30202030,Packaged Foods & Meats
175,MYOR.JK,Mayora Indah Tbk PT,Indonesia,2150711733.34723,30202030,Packaged Foods & Meats
324,3387.T,Create Restaurants Holdings Inc,Japan,2116543707.31075,25301040,Restaurants
199,600872.SS,Jonjee Hi-tech Industrial and Commercial Holding Co Ltd,China,2110860010.86937,30202030,Packaged Foods & Meats
511,ECOO.KL,Eco-Shop Marketing Bhd,Malaysia,2109102600.94173,30101040,Consumer Staples Merchandise Retail
290,MAB.L,Mitchells & Butlers PLC,United Kingdom,2100926161.72355,25301040,Restaurants
372,MFPC.CA,Misr Fertilizers Production Company SAE,Egypt,2097621434.14898,15101030,Fertilizers & Agricultural Chemicals
20,GRG.L,Greggs PLC,United Kingdom,2097608479.84146,25301040,Restaurants
275,HAPL.NS,Hatsun Agro Product Ltd,India,2093446087.24185,30202030,Packaged Foods & Meats
2,SPAB.BR,"Societe de Services de Participations, de Direction et d'Elaboration SA",Belgium,2089110315.39931,30201030,Soft Drinks & Non-alcoholic Beverages
218,000422.SZ,Hubei Yihua Chemical Industry Co Ltd,China,2087629853.16336,15101030,Fertilizers & Agricultural Chemicals
122,DPFE.NS,Deepak Fertilisers and Petrochemicals Corp Ltd,India,2085921582.60824,15101030,Fertilizers & Agricultural Chemicals
59,AVIJ.J,Avi Ltd,South Africa,2080777067.78763,30202030,Packaged Foods & Meats
346,097950.KS,CJ CheilJedang Corp,Korea; Republic (S. Korea),2076203427.2409,30202030,Packaged Foods & Meats
404,MONDE.PS,Monde Nissin Corp,Philippines,2074336581.78064,30202030,Packaged Foods & Meats
210,ALICORC1.LM,Alicorp SAA,Peru,2038813059.22284,30202030,Packaged Foods & Meats
525,CMRY.JK,Cisarua Mountain Dairy Tbk PT,Indonesia,2033855358.9102,30202030,Packaged Foods & Meats
179,ALG.N,Alamo Group Inc,United States of America,2021891872.88,20106015,Agricultural & Farm Machinery
249,ALSEA.MX,Alsea SAB de CV,Mexico,2021659576.67175,25301040,Restaurants
308,SSPG.L,SSP Group PLC,United Kingdom,2013406166.4502,25301040,Restaurants
534,PMRJ.J,Premier Group Ltd,South Africa,1996981659.29581,30202030,Packaged Foods & Meats
112,WMK.N,Weis Markets Inc,United States of America,1991692612.53,30101030,Food Retail
390,OCDO.L,Ocado Group PLC,United Kingdom,1983133259.08707,30101030,Food Retail
289,PRESCO.LG,Presco PLC,Nigeria,1960182723.67998,30202010,Agricultural Products & Services
403,002539.SZ,Chengdu Wintrue Holding Co Ltd,China,1952013263.86787,15101030,Fertilizers & Agricultural Chemicals
194,CSR.CS,Compagnie Sucrerie Marocaine et de Raffinage SA,Morocco,1949197939.56519,30202030,Packaged Foods & Meats
113,CHMB.NS,Chambal Fertilisers and Chemicals Ltd,India,1947609499.09739,15101030,Fertilizers & Agricultural Chemicals
181,2593.T,Ito En Ltd,Japan,1944508740.57622,30201030,Soft Drinks & Non-alcoholic Beverages
114,BAYE.NS,Bayer Cropscience Ltd,India,1942182470.40151,15101030,Fertilizers & Agricultural Chemicals
182,600827.SS,Shanghai Bailian Group Co Ltd,China,1923139216.96093,30101030,Food Retail
295,ZYDS.NS,Zydus Wellness Ltd,India,1920671460.44659,30202030,Packaged Foods & Meats
180,000553.SZ,ADAMA Ltd,China,1914336924.28861,15101030,Fertilizers & Agricultural Chemicals
474,1579.HK,Yihai International Holding Ltd,Hong Kong,1914306336.63619,30202030,Packaged Foods & Meats
398,002507.SZ,Chongqing Fuling Zhacai Group Co Ltd,China,1905816158.9425,30202030,Packaged Foods & Meats
306,2270.SE,Saudia Dairy & Foodstuff Company SJSC,Saudi Arabia,1904178540.04101,30202030,Packaged Foods & Meats
450,TFG.BK,Thaifoods Group PCL,Thailand,1892060248.08779,30202030,Packaged Foods & Meats
417,PGOLD.PS,Puregold Price Club Inc,Philippines,1878167114.11929,30101040,Consumer Staples Merchandise Retail
132,ILCO.TA,Israel Corporation Ltd,Israel,1863821330.52632,15101030,Fertilizers & Agricultural Chemicals
226,7581.T,Saizeriya Co Ltd,Japan,1860765089.39478,25301040,Restaurants
241,600113.SS,Zhe Jiang Dong Ri Ltd Co,China,1859317577.85498,30101030,Food Retail
490,TFMAMA.BK,Thai President Foods PCL,Thailand,1853717697.47444,30202030,Packaged Foods & Meats
255,SVN.IC,Sildarvinnslan hf,Iceland,1850198141.54801,30202030,Packaged Foods & Meats
482,TAVE.NS,Travel Food Services Ltd,India,1848813637.92012,25301040,Restaurants
343,002946.SZ,New Hope Dairy Co Ltd,China,1844664572.27309,30202030,Packaged Foods & Meats
441,CNPF.PS,Century Pacific Food Inc,Philippines,1842763483.62397,30202030,Packaged Foods & Meats
385,002385.SZ,Beijing Dabeinong Technology Group Co Ltd,China,1841968472.95169,30202010,Agricultural Products & Services
458,002847.SZ,Yankershop Food Co Ltd,China,1837070952.30812,30202030,Packaged Foods & Meats
83,FLO.N,Flowers Foods Inc,United States of America,1823141778.0,30202030,Packaged Foods & Meats
214,EXITO.CN,Almacenes Exito SA,Colombia,1809709130.14363,30101040,Consumer Staples Merchandise Retail
172,NESTLE.LG,Nestle Nigeria PLC,Nigeria,1809492729.6701,30202030,Packaged Foods & Meats
200,ABUK.CA,Abu Qir Fertilizers and Chemical Industries Co SAE,Egypt,1802827360.62295,15101030,Fertilizers & Agricultural Chemicals
115,BJC.BK,Berli Jucker PCL,Thailand,1783385181.75586,30101040,Consumer Staples Merchandise Retail
348,SLU.GQ,Corporacion Favorita CA,Ecuador,1782264981.94,30101030,Food Retail
389,002458.SZ,Shandong Yisheng Livestock & Poultry Breeding Co Ltd,China,1778088917.06068,30202030,Packaged Foods & Meats
470,YHNF.TA,M Yochananof and Sons 1988 Ltd,Israel,1767768760.77802,30101030,Food Retail
